2	1.92
3	2.76
4	3.76
5	4.84
6	5.28
7	6.07
8	6.92
9	7.98
10 8.48
11	9.88
12	12.19
13	13.56
14	14.36
15	15.12
16	16.33
17	17.32
18	18.88
19	19.56
